No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
14,Charlie Criss,PG,5-8,165,"November 6, 1948",us US,4,New Mexico State,ATL,1982
22,John Drew,SF,6-6,205,"September 30, 1954",us US,7,Gardner-Webb University,ATL,1982
34,Mike Glenn,SG,6-2,175,"September 10, 1955",us US,4,Southern Illinois,ATL,1982
10,Steve Hawes,PF,6-9,220,"May 26, 1950",us US,7,Washington,ATL,1982
3,Eddie Johnson,SG,6-2,180,"February 24, 1955",us US,4,Auburn,ATL,1982
40,Rudy Macklin,SF,6-7,205,"February 19, 1958",us US,R,LSU,ATL,1982
1,Wes Matthews,PG,6-1,170,"August 24, 1959",us US,1,Wisconsin,ATL,1982
33,Jim McElroy,PG,6-3,190,"October 4, 1953",us US,6,Central Michigan University,ATL,1982
54,Tom McMillen,C,6-11,215,"May 26, 1952",us US,6,Maryland,ATL,1982
41,Sam Pellom,PF,6-9,225,"October 2, 1951",us US,2,Buffalo,ATL,1982
30,Tree Rollins,C,7-1,235,"June 16, 1955",us US,4,Clemson,ATL,1982
32,Dan Roundfield,PF,6-8,205,"May 26, 1953",us US,6,Central Michigan University,ATL,1982
11,Craig Shelton,SF,6-7,210,"May 1, 1957",us US,1,Georgetown,ATL,1982
2,Rory Sparrow,PG,6-2,175,"June 12, 1958",us US,1,Villanova,ATL,1982
20,Freeman Williams,SG,6-4,190,"May 15, 1956",us US,3,Portland State,ATL,1982
7,Al Wood,SG,6-6,193,"June 2, 1958",us US,R,UNC,ATL,1982
31,Rickey Brown,C,6-10,215,"August 20, 1958",us US,2,Mississippi State,ATL,1983
16,Johnny Davis,SG,6-2,170,"October 21, 1955",us US,6,Dayton,ATL,1983
11,Keith Edmonson,SG,6-5,195,"September 28, 1960",us US,R,Purdue,ATL,1983
34,Mike Glenn,SG,6-2,175,"September 10, 1955",us US,5,Southern Illinois,ATL,1983
44,Scott Hastings,PF,6-10,235,"June 3, 1960",us US,R,Arkansas,ATL,1983
10,Steve Hawes,PF,6-9,220,"May 26, 1950",us US,8,Washington,ATL,1983
3,Eddie Johnson,SG,6-2,180,"February 24, 1955",us US,5,Auburn,ATL,1983
52,George Johnson,C,6-11,205,"December 18, 1948",us US,10,Dillard University,ATL,1983
40,Rudy Macklin,SF,6-7,205,"February 19, 1958",us US,1,LSU,ATL,1983
1,Wes Matthews,PG,6-1,170,"August 24, 1959",us US,2,Wisconsin,ATL,1983
54,Tom McMillen,C,6-11,215,"May 26, 1952",us US,7,Maryland,ATL,1983
41,Sam Pellom,PF,6-9,225,"October 2, 1951",us US,3,Buffalo,ATL,1983
30,Tree Rollins,C,7-1,235,"June 16, 1955",us US,5,Clemson,ATL,1983
32,Dan Roundfield,PF,6-8,205,"May 26, 1953",us US,7,Central Michigan University,ATL,1983
7,Randy Smith,SG,6-3,180,"December 12, 1948",us US,11,Buffalo State,ATL,1983
2,Rory Sparrow,PG,6-2,175,"June 12, 1958",us US,2,Villanova,ATL,1983
21,Dominique Wilkins,SF,6-8,215,"January 12, 1960",fr FR,R,Georgia,ATL,1983
31,Rickey Brown,C,6-10,215,"August 20, 1958",us US,3,Mississippi State,ATL,1984
14,Charlie Criss,PG,5-8,165,"November 6, 1948",us US,6,New Mexico State,ATL,1984
16,Johnny Davis,PG,6-2,170,"October 21, 1955",us US,7,Dayton,ATL,1984
34,Mike Glenn,SG,6-2,175,"September 10, 1955",us US,6,Southern Illinois,ATL,1984
44,Scott Hastings,PF,6-10,235,"June 3, 1960",us US,1,Arkansas,ATL,1984
24,Armond Hill,PG,6-4,190,"March 31, 1953",us US,7,Princeton,ATL,1984
3,Eddie Johnson,SG,6-2,180,"February 24, 1955",us US,6,Auburn,ATL,1984
53,Mark Landsberger,PF,6-8,215,"May 21, 1955",us US,6,"Minnesota, Arizona State",ATL,1984
1,Wes Matthews,PG,6-1,170,"August 24, 1959",us US,3,Wisconsin,ATL,1984
5,Billy Paultz,C,6-11,235,"July 30, 1948",us US,13,"Cameron University, St. John's",ATL,1984
33,John Pinone,SF,6-8,230,"February 19, 1961",us US,R,Villanova,ATL,1984
25,Doc Rivers,PG,6-4,185,"October 13, 1961",us US,R,Marquette,ATL,1984
30,Tree Rollins,C,7-1,235,"June 16, 1955",us US,6,Clemson,ATL,1984
32,Dan Roundfield,PF,6-8,205,"May 26, 1953",us US,8,Central Michigan University,ATL,1984
21,Dominique Wilkins,SF,6-8,215,"January 12, 1960",fr FR,1,Georgia,ATL,1984
35,Sly Williams,SF,6-7,210,"January 26, 1958",us US,4,Rhode Island,ATL,1984
10,Randy Wittman,SG,6-6,210,"October 28, 1959",us US,R,Indiana,ATL,1984
31,Rickey Brown,C,6-10,215,"August 20, 1958",us US,4,Mississippi State,ATL,1985
33,Antoine Carr,PF,6-9,225,"July 23, 1961",us US,R,Wichita State,ATL,1985
14,Charlie Criss,PG,5-8,165,"November 6, 1948",us US,7,New Mexico State,ATL,1985
5,Jerry Eaves,PG,6-4,180,"February 8, 1959",us US,2,Louisville,ATL,1985
34,Mike Glenn,SG,6-2,175,"September 10, 1955",us US,7,Southern Illinois,ATL,1985
20,Stewart Granger,PG,6-3,190,"October 27, 1961",ca CA,1,Villanova,ATL,1985
44,Scott Hastings,PF,6-10,235,"June 3, 1960",us US,2,Arkansas,ATL,1985
3,Eddie Johnson,SG,6-2,180,"February 24, 1955",us US,7,Auburn,ATL,1985
53,Cliff Levingston,PF,6-8,210,"January 4, 1961",us US,2,Wichita State,ATL,1985
43,Sidney Lowe,PG,6-0,195,"January 21, 1960",us US,1,NC State,ATL,1985
7,Leo Rautins,SF,6-8,215,"March 20, 1960",ca CA,1,"Minnesota, Syracuse",ATL,1985
25,Doc Rivers,PG,6-4,185,"October 13, 1961",us US,1,Marquette,ATL,1985
30,Tree Rollins,C,7-1,235,"June 16, 1955",us US,7,Clemson,ATL,1985
2,Walker Russell,PG,6-5,195,"October 26, 1960",us US,2,"Houston, Western Michigan",ATL,1985
21,Dominique Wilkins,SF,6-8,215,"January 12, 1960",fr FR,2,Georgia,ATL,1985
35,Sly Williams,SF,6-7,210,"January 26, 1958",us US,5,Rhode Island,ATL,1985
42,Kevin Willis,PF,7-0,220,"September 6, 1962",us US,R,Michigan State,ATL,1985
10,Randy Wittman,SG,6-6,210,"October 28, 1959",us US,1,Indiana,ATL,1985
12,John Battle,SG,6-2,175,"November 9, 1962",us US,R,Rutgers University,ATL,1986
33,Antoine Carr,PF,6-9,225,"July 23, 1961",us US,1,Wichita State,ATL,1986
43,Lorenzo Charles,SF,6-7,225,"November 25, 1963",us US,R,NC State,ATL,1986
16,Johnny Davis,SG,6-2,170,"October 21, 1955",us US,9,Dayton,ATL,1986
44,Scott Hastings,PF,6-10,235,"June 3, 1960",us US,3,Arkansas,ATL,1986
3,Eddie Johnson,SG,6-2,180,"February 24, 1955",us US,8,Auburn,ATL,1986
32,Jon Koncak,C,7-0,250,"May 17, 1963",us US,R,SMU,ATL,1986
53,Cliff Levingston,PF,6-8,210,"January 4, 1961",us US,3,Wichita State,ATL,1986
25,Doc Rivers,PG,6-4,185,"October 13, 1961",us US,2,Marquette,ATL,1986
30,Tree Rollins,C,7-1,235,"June 16, 1955",us US,8,Clemson,ATL,1986
12,Sedric Toney,PG,6-2,178,"April 13, 1962",us US,R,Dayton,ATL,1986
4,Spud Webb,PG,5-6,133,"July 13, 1963",us US,R,"Midland College, NC State",ATL,1986
21,Dominique Wilkins,SF,6-8,215,"January 12, 1960",fr FR,3,Georgia,ATL,1986
1,Ray Williams,PG,6-3,188,"October 14, 1954",us US,8,Minnesota,ATL,1986
42,Kevin Willis,PF,7-0,220,"September 6, 1962",us US,1,Michigan State,ATL,1986
10,Randy Wittman,SG,6-6,210,"October 28, 1959",us US,2,Indiana,ATL,1986
12,John Battle,SG,6-2,175,"November 9, 1962",us US,1,Rutgers University,ATL,1987
33,Antoine Carr,PF,6-9,225,"July 23, 1961",us US,2,Wichita State,ATL,1987
44,Scott Hastings,PF,6-10,235,"June 3, 1960",us US,4,Arkansas,ATL,1987
24,Cedric Henderson,PF,6-8,210,"October 3, 1965",us US,R,Georgia,ATL,1987
32,Jon Koncak,C,7-0,250,"May 17, 1963",us US,1,SMU,ATL,1987
53,Cliff Levingston,PF,6-8,210,"January 4, 1961",us US,4,Wichita State,ATL,1987
40,Mike McGee,SF,6-5,190,"July 29, 1959",us US,5,Michigan,ATL,1987
25,Doc Rivers,PG,6-4,185,"October 13, 1961",us US,3,Marquette,ATL,1987
30,Tree Rollins,C,7-1,235,"June 16, 1955",us US,9,Clemson,ATL,1987
4,Spud Webb,PG,5-6,133,"July 13, 1963",us US,1,"Midland College, NC State",ATL,1987
21,Dominique Wilkins,SF,6-8,215,"January 12, 1960",fr FR,4,Georgia,ATL,1987
1,Gus Williams,SG,6-2,175,"October 10, 1953",us US,10,USC,ATL,1987
42,Kevin Willis,PF,7-0,220,"September 6, 1962",us US,2,Michigan State,ATL,1987
15,Michael Wilson,PG,6-4,175,"September 15, 1959",us US,2,Marquette,ATL,1987
10,Randy Wittman,SG,6-6,210,"October 28, 1959",us US,3,Indiana,ATL,1987
12,John Battle,SG,6-2,175,"November 9, 1962",us US,2,Rutgers University,ATL,1988
33,Antoine Carr,PF,6-9,225,"July 23, 1961",us US,3,Wichita State,ATL,1988
44,Scott Hastings,PF,6-10,235,"June 3, 1960",us US,5,Arkansas,ATL,1988
32,Jon Koncak,C,7-0,250,"May 17, 1963",us US,2,SMU,ATL,1988
53,Cliff Levingston,PF,6-8,210,"January 4, 1961",us US,5,Wichita State,ATL,1988
40,Mike McGee,SG,6-5,190,"July 29, 1959",us US,6,Michigan,ATL,1988
25,Doc Rivers,PG,6-4,185,"October 13, 1961",us US,4,Marquette,ATL,1988
30,Tree Rollins,C,7-1,235,"June 16, 1955",us US,10,Clemson,ATL,1988
50,Chris Washburn,C,6-11,225,"May 13, 1965",us US,1,NC State,ATL,1988
4,Spud Webb,PG,5-6,133,"July 13, 1963",us US,2,"Midland College, NC State",ATL,1988
1,Ennis Whatley,PG,6-3,177,"August 11, 1962",us US,4,Alabama,ATL,1988
21,Dominique Wilkins,SF,6-8,215,"January 12, 1960",fr FR,5,Georgia,ATL,1988
42,Kevin Willis,PF,7-0,220,"September 6, 1962",us US,3,Michigan State,ATL,1988
10,Randy Wittman,SG,6-6,210,"October 28, 1959",us US,4,Indiana,ATL,1988
1,Leon Wood,PG,6-3,185,"March 25, 1962",us US,3,"Arizona, Cal State Fullerton",ATL,1988
10,John Battle,SG,6-2,175,"November 9, 1962",us US,3,Rutgers University,ATL,1989
22,Dudley Bradley,SG,6-6,195,"March 19, 1957",us US,8,UNC,ATL,1989
35,Antoine Carr,PF,6-9,225,"July 23, 1961",us US,4,Wichita State,ATL,1989
33,Duane Ferrell,SF,6-7,209,"February 28, 1965",us US,R,Georgia Tech,ATL,1989
32,Jon Koncak,C,7-0,250,"May 17, 1963",us US,3,SMU,ATL,1989
53,Cliff Levingston,PF,6-8,210,"January 4, 1961",us US,6,Wichita State,ATL,1989
2,Moses Malone,C,6-10,215,"March 23, 1955",us US,14,,ATL,1989
5,Pace Mannion,SF,6-7,190,"September 22, 1960",us US,5,Utah,ATL,1989
25,Doc Rivers,PG,6-4,185,"October 13, 1961",us US,5,Marquette,ATL,1989
24,Reggie Theus,SG,6-6,190,"October 13, 1957",us US,10,UNLV,ATL,1989
44,Ray Tolbert,PF,6-9,225,"September 10, 1958",us US,4,Indiana,ATL,1989
4,Spud Webb,PG,5-6,133,"July 13, 1963",us US,3,"Midland College, NC State",ATL,1989
21,Dominique Wilkins,SF,6-8,215,"January 12, 1960",fr FR,6,Georgia,ATL,1989
10,John Battle,SG,6-2,175,"November 9, 1962",us US,4,Rutgers University,ATL,1990
35,Antoine Carr,PF,6-9,225,"July 23, 1961",us US,5,Wichita State,ATL,1990
33,Duane Ferrell,SF,6-7,209,"February 28, 1965",us US,1,Georgia Tech,ATL,1990
32,Jon Koncak,C,7-0,250,"May 17, 1963",us US,4,SMU,ATL,1990
53,Cliff Levingston,PF,6-8,210,"January 4, 1961",us US,7,Wichita State,ATL,1990
34,John Long,SG,6-5,195,"August 28, 1956",us US,11,Detroit Mercy,ATL,1990
2,Moses Malone,C,6-10,215,"March 23, 1955",us US,15,,ATL,1990
22,Roy Marble,SG,6-6,190,"December 13, 1966",us US,R,Iowa,ATL,1990
1,Wes Matthews,PG,6-1,170,"August 24, 1959",us US,8,Wisconsin,ATL,1990
25,Doc Rivers,PG,6-4,185,"October 13, 1961",us US,6,Marquette,ATL,1990
31,Kenny Smith,PG,6-3,170,"March 8, 1965",us US,2,UNC,ATL,1990
11,Sedric Toney,PG,6-2,178,"April 13, 1962",us US,3,Dayton,ATL,1990
8,Alexander Volkov,C,6-10,218,"March 28, 1964",ru RU,R,,ATL,1990
4,Spud Webb,PG,5-6,133,"July 13, 1963",us US,4,"Midland College, NC State",ATL,1990
21,Dominique Wilkins,SF,6-8,215,"January 12, 1960",fr FR,7,Georgia,ATL,1990
35,Mike Williams,SF,6-8,255,"August 14, 1963",us US,R,"Cincinnati, Bradley",ATL,1990
42,Kevin Willis,PF,7-0,220,"September 6, 1962",us US,4,Michigan State,ATL,1990
14,Haywoode Workman,PG,6-2,180,"January 23, 1966",us US,R,"Winston-Salem State, Oral Roberts",ATL,1990
10,John Battle,SG,6-2,175,"November 9, 1962",us US,5,Rutgers University,ATL,1991
33,Duane Ferrell,SF,6-7,209,"February 28, 1965",us US,2,Georgia Tech,ATL,1991
32,Jon Koncak,C,7-0,250,"May 17, 1963",us US,5,SMU,ATL,1991
34,Gary Leonard,C,7-1,250,"February 16, 1967",us US,1,Missouri,ATL,1991
2,Moses Malone,C,6-10,215,"March 23, 1955",us US,16,,ATL,1991
40,Tim McCormick,C,6-11,240,"March 10, 1962",us US,6,Michigan,ATL,1991
15,Sidney Moncrief,SG,6-4,180,"September 21, 1957",us US,10,Arkansas,ATL,1991
25,Doc Rivers,PG,6-4,185,"October 13, 1961",us US,7,Marquette,ATL,1991
22,Rumeal Robinson,PG,6-2,195,"November 13, 1966",jm JM,R,Michigan,ATL,1991
4,Spud Webb,PG,5-6,133,"July 13, 1963",us US,5,"Midland College, NC State",ATL,1991
21,Dominique Wilkins,SF,6-8,215,"January 12, 1960",fr FR,8,Georgia,ATL,1991
42,Kevin Willis,PF,7-0,220,"September 6, 1962",us US,5,Michigan State,ATL,1991
44,Trevor Wilson,PF,6-7,210,"March 16, 1968",us US,R,UCLA,ATL,1991
41,Howard Wright,PF,6-8,220,"December 20, 1967",us US,R,Stanford,ATL,1991
2,Stacey Augmon,SG,6-8,205,"August 1, 1968",us US,R,UNLV,ATL,1992
10,Maurice Cheeks,PG,6-1,180,"September 8, 1956",us US,13,West Texas A&M University,ATL,1992
33,Duane Ferrell,SF,6-7,209,"February 28, 1965",us US,3,Georgia Tech,ATL,1992
25,Paul Graham,SG,6-6,200,"November 28, 1967",us US,R,Ohio University,ATL,1992
32,Jon Koncak,C,7-0,250,"May 17, 1963",us US,6,SMU,ATL,1992
34,Gary Leonard,C,7-1,250,"February 16, 1967",us US,2,Missouri,ATL,1992
1,Travis Mays,PG,6-2,190,"June 19, 1968",us US,1,Texas,ATL,1992
12,Rodney Monroe,SG,6-3,185,"April 16, 1968",us US,R,NC State,ATL,1992
41,Blair Rasmussen,C,7-0,250,"November 13, 1962",us US,6,Oregon,ATL,1992
22,Rumeal Robinson,PG,6-2,195,"November 13, 1966",jm JM,1,Michigan,ATL,1992
34,Jeff Sanders,SF,6-8,225,"January 14, 1966",us US,2,Georgia Southern University,ATL,1992
8,Alexander Volkov,C,6-10,218,"March 28, 1964",ru RU,1,,ATL,1992
11,Morlon Wiley,PG,6-4,185,"September 24, 1966",us US,3,Cal State Long Beach,ATL,1992
21,Dominique Wilkins,SF,6-8,215,"January 12, 1960",fr FR,9,Georgia,ATL,1992
42,Kevin Willis,PF,7-0,220,"September 6, 1962",us US,6,Michigan State,ATL,1992
2,Stacey Augmon,SG,6-8,205,"August 1, 1968",us US,1,UNLV,ATL,1993
10,Mookie Blaylock,PG,6-0,180,"March 20, 1967",us US,3,"Midland College, Oklahoma",ATL,1993
45,Randy Breuer,C,7-3,230,"October 11, 1960",us US,9,Minnesota,ATL,1993
33,Duane Ferrell,SF,6-7,209,"February 28, 1965",us US,4,Georgia Tech,ATL,1993
44,Greg Foster,PF,6-11,240,"October 3, 1968",us US,2,"UCLA, Texas-El Paso",ATL,1993
25,Paul Graham,SG,6-6,200,"November 28, 1967",us US,1,Ohio University,ATL,1993
12,Steve Henson,PG,5-11,177,"February 2, 1968",us US,2,Kansas State,ATL,1993
31,Adam Keefe,PF,6-9,230,"February 22, 1970",us US,R,Stanford,ATL,1993
32,Jon Koncak,C,7-0,250,"May 17, 1963",us US,7,SMU,ATL,1993
1,Travis Mays,PG,6-2,190,"June 19, 1968",us US,2,Texas,ATL,1993
41,Blair Rasmussen,C,7-0,250,"November 13, 1962",us US,7,Oregon,ATL,1993
34,Jeff Sanders,PF,6-8,225,"January 14, 1966",us US,3,Georgia Southern University,ATL,1993
24,Andre Spencer,SF,6-6,210,"July 20, 1964",us US,R,Northern Arizona University,ATL,1993
43,Alex Stivrins,PF,6-8,220,"November 29, 1962",us US,1,"Creighton, Colorado",ATL,1993
11,Morlon Wiley,PG,6-4,185,"September 24, 1966",us US,4,Cal State Long Beach,ATL,1993
21,Dominique Wilkins,SF,6-8,215,"January 12, 1960",fr FR,10,Georgia,ATL,1993
42,Kevin Willis,PF,7-0,220,"September 6, 1962",us US,7,Michigan State,ATL,1993
2,Stacey Augmon,SG,6-8,205,"August 1, 1968",us US,2,UNLV,ATL,1994
5,John Bagley,PG,6-0,185,"April 23, 1960",us US,10,Boston College,ATL,1994
10,Mookie Blaylock,PG,6-0,180,"March 20, 1967",us US,4,"Midland College, Oklahoma",ATL,1994
34,Doug Edwards,PF,6-7,220,"January 21, 1971",us US,R,Florida State,ATL,1994
3,Craig Ehlo,SG,6-6,180,"August 11, 1961",us US,10,"Odessa College, Washington State",ATL,1994
33,Duane Ferrell,SF,6-7,209,"February 28, 1965",us US,5,Georgia Tech,ATL,1994
15,Ricky Grace,PG,6-1,180,"August 20, 1967",us US,R,"Midland College, Oklahoma",ATL,1994
25,Paul Graham,SG,6-6,200,"November 28, 1967",us US,2,Ohio University,ATL,1994
31,Adam Keefe,PF,6-9,230,"February 22, 1970",us US,1,Stanford,ATL,1994
32,Jon Koncak,C,7-0,250,"May 17, 1963",us US,8,SMU,ATL,1994
28,Andrew Lang,C,6-11,245,"June 28, 1966",us US,5,Arkansas,ATL,1994
5,Danny Manning,PF,6-10,230,"May 17, 1966",us US,5,Kansas,ATL,1994
1,Ennis Whatley,PG,6-3,177,"August 11, 1962",us US,7,Alabama,ATL,1994
21,Dominique Wilkins,SF,6-8,215,"January 12, 1960",fr FR,11,Georgia,ATL,1994
42,Kevin Willis,PF,7-0,220,"September 6, 1962",us US,8,Michigan State,ATL,1994
22,Greg Anderson,PF,6-10,230,"June 22, 1964",us US,6,Houston,ATL,1995
2,Stacey Augmon,SG,6-8,205,"August 1, 1968",us US,3,UNLV,ATL,1995
5,Sergei Bazarevich,PG,6-2,168,"March 16, 1965",ru RU,R,,ATL,1995
10,Mookie Blaylock,PG,6-0,180,"March 20, 1967",us US,5,"Midland College, Oklahoma",ATL,1995
33,Tyrone Corbin,SF,6-6,210,"December 31, 1962",us US,9,DePaul,ATL,1995
34,Doug Edwards,PF,6-7,220,"January 21, 1971",us US,1,Florida State,ATL,1995
3,Craig Ehlo,SG,6-6,180,"August 11, 1961",us US,11,"Odessa College, Washington State",ATL,1995
17,Tom Hovasse,SF,6-8,205,"January 31, 1967",us US,R,Penn State,ATL,1995
32,Jon Koncak,C,7-0,250,"May 17, 1963",us US,9,SMU,ATL,1995
28,Andrew Lang,C,6-11,245,"June 28, 1966",us US,6,Arkansas,ATL,1995
14,Jim Les,PG,5-11,165,"August 18, 1963",us US,6,"Cleveland State University, Bradley",ATL,1995
43,Grant Long,PF,6-8,225,"March 12, 1966",us US,6,Eastern Michigan,ATL,1995
4,Ken Norman,SF,6-8,215,"September 5, 1964",us US,7,Illinois,ATL,1995
8,Steve Smith,SG,6-8,200,"March 31, 1969",us US,3,Michigan State,ATL,1995
11,Fred Vinson,SG,6-4,190,"January 28, 1971",us US,R,Georgia Tech,ATL,1995
1,Ennis Whatley,PG,6-3,177,"August 11, 1962",us US,8,Alabama,ATL,1995
11,Morlon Wiley,PG,6-4,185,"September 24, 1966",us US,6,Cal State Long Beach,ATL,1995
42,Kevin Willis,PF,7-0,220,"September 6, 1962",us US,9,Michigan State,ATL,1995
2,Stacey Augmon,SF,6-8,205,"August 1, 1968",us US,4,UNLV,ATL,1996
10,Mookie Blaylock,PG,6-0,180,"March 20, 1967",us US,6,"Midland College, Oklahoma",ATL,1996
24,Donnie Boyce,SG,6-5,196,"September 2, 1973",us US,R,Colorado,ATL,1996
50,Matt Bullard,PF,6-10,215,"June 5, 1967",us US,4,"Colorado, Iowa",ATL,1996
3,Craig Ehlo,SG,6-6,180,"August 11, 1961",us US,12,"Odessa College, Washington State",ATL,1996
35,Ron Grandison,PF,6-6,215,"July 9, 1964",us US,3,"University of California, Irvine, New Orleans",ATL,1996
44,Alan Henderson,PF,6-9,235,"December 2, 1972",us US,R,Indiana,ATL,1996
22,Reggie Jordan,PG,6-4,195,"January 26, 1968",us US,1,New Mexico State,ATL,1996
7,Tim Kempton,PF,6-10,245,"January 25, 1964",us US,5,Notre Dame,ATL,1996
32,Christian Laettner,C,6-11,235,"August 17, 1969",us US,3,Duke,ATL,1996
28,Andrew Lang,C,6-11,245,"June 28, 1966",us US,7,Arkansas,ATL,1996
43,Grant Long,PF,6-8,225,"March 12, 1966",us US,7,Eastern Michigan,ATL,1996
51,Todd Mundt,C,7-0,250,"May 17, 1970",us US,R,"Memphis, Delta State University",ATL,1996
14,Howard Nathan,PG,5-11,175,"January 21, 1972",us US,R,"DePaul, Louisiana-Monroe",ATL,1996
5,Ken Norman,SF,6-8,215,"September 5, 1964",us US,8,Illinois,ATL,1996
45,Sean Rooks,C,6-10,250,"September 9, 1969",us US,3,Arizona,ATL,1996
8,Steve Smith,SG,6-8,200,"March 31, 1969",us US,4,Michigan State,ATL,1996
4,Spud Webb,PG,5-6,133,"July 13, 1963",us US,10,"Midland College, NC State",ATL,1996
45,Derrick Alston,C,6-11,225,"August 20, 1972",us US,2,Duquesne,ATL,1997
17,Jon Barry,SG,6-4,195,"July 25, 1969",us US,4,"University of the Pacific, Georgia Tech",ATL,1997
10,Mookie Blaylock,PG,6-0,180,"March 20, 1967",us US,7,"Midland College, Oklahoma",ATL,1997
24,Donnie Boyce,SG,6-5,196,"September 2, 1973",us US,1,Colorado,ATL,1997
34,Willie Burton,SF,6-8,210,"May 26, 1968",us US,5,Minnesota,ATL,1997
33,Tyrone Corbin,SF,6-6,210,"December 31, 1962",us US,11,DePaul,ATL,1997
35,Darrin Hancock,SF,6-7,205,"November 3, 1971",us US,2,Kansas,ATL,1997
44,Alan Henderson,PF,6-9,235,"December 2, 1972",us US,1,Indiana,ATL,1997
42,Henry James,PF,6-8,220,"July 29, 1965",us US,5,"South Plains College, St. Mary's University",ATL,1997
32,Christian Laettner,PF,6-11,235,"August 17, 1969",us US,4,Duke,ATL,1997
15,Priest Lauderdale,C,7-4,325,"August 31, 1973",us US,R,Central State University,ATL,1997
2,Anthony Miller,PF,6-9,225,"October 22, 1971",us US,2,Michigan State,ATL,1997
55,Dikembe Mutombo,C,7-2,245,"June 25, 1966",cd CD,5,Georgetown,ATL,1997
28,Ivano Newbill,PF,6-9,245,"December 12, 1970",us US,1,Georgia Tech,ATL,1997
