No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
6,James Thomas,PF,6-8,235,"November 22, 1980",us US,R,Texas,ATL,2005
8,Antoine Walker,PF,6-9,224,"August 12, 1976",us US,8,Kentucky,ATL,2005
42,Kevin Willis,C,7-0,220,"September 6, 1962",us US,19,Michigan State,ATL,2005
11,Esteban Batista,PF,6-10,270,"September 2, 1983",uy UY,R,,ATL,2006
1,Josh Childress,SF,6-8,210,"June 20, 1983",us US,1,Stanford,ATL,2006
0,Tony Delk,SG,6-1,189,"January 28, 1974",us US,9,Kentucky,ATL,2006
54,John Edwards,C,7-0,275,"July 31, 1981",us US,1,Kent State University,ATL,2006
16,Anthony Grundy,SG,6-3,180,"April 15, 1979",us US,R,NC State,ATL,2006
3,Al Harrington,PF,6-9,230,"February 17, 1980",us US,7,,ATL,2006
36,Royal Ivey,PG,6-3,200,"December 20, 1981",us US,1,Texas,ATL,2006
2,Joe Johnson,SG,6-7,240,"June 29, 1981",us US,4,Arkansas,ATL,2006
10,Tyronn Lue,PG,6-0,175,"May 3, 1977",us US,7,Nebraska,ATL,2006
27,Zaza Pachulia,C,6-11,270,"February 10, 1984",ge GE,2,,ATL,2006
15,Donta Smith,SG,6-7,215,"November 27, 1983",us US,1,Southeastern Illinois College,ATL,2006
5,Josh Smith,SF,6-9,225,"December 5, 1985",us US,1,,ATL,2006
20,Salim Stoudamire,SG,6-1,179,"October 11, 1982",us US,R,Arizona,ATL,2006
12,John Thomas,C,6-9,265,"September 8, 1975",us US,4,Minnesota,ATL,2006
24,Marvin Williams,PF,6-8,237,"June 19, 1986",us US,R,UNC,ATL,2006
11,Esteban Batista,PF,6-10,270,"September 2, 1983",uy UY,1,,ATL,2007
6,Cedric Bozeman,SG,6-6,207,"March 7, 1983",us US,R,UCLA,ATL,2007
1,Josh Childress,SG,6-8,210,"June 20, 1983",us US,2,Stanford,ATL,2007
12,Speedy Claxton,PG,5-11,166,"May 8, 1978",us US,5,Hofstra,ATL,2007
4,Matt Freije,PF,6-10,240,"October 2, 1981",us US,1,Vanderbilt,ATL,2007
36,Royal Ivey,PG,6-3,200,"December 20, 1981",us US,2,Texas,ATL,2007
8,Anthony Johnson,PG,6-3,190,"October 2, 1974",us US,9,College of Charleston,ATL,2007
2,Joe Johnson,SG,6-7,240,"June 29, 1981",us US,5,Arkansas,ATL,2007
44,Solomon Jones,PF,6-10,230,"July 16, 1984",us US,R,South Florida,ATL,2007
10,Tyronn Lue,PG,6-0,175,"May 3, 1977",us US,8,Nebraska,ATL,2007
14,Stanislav Medvedenko,C,6-10,250,"April 4, 1979",ua UA,6,,ATL,2007
27,Zaza Pachulia,C,6-11,270,"February 10, 1984",ge GE,3,,ATL,2007
32,Jeremy Richardson,SG,6-6,185,"March 1, 1984",us US,R,Delta State University,ATL,2007
5,Josh Smith,SF,6-9,225,"December 5, 1985",us US,2,,ATL,2007
20,Salim Stoudamire,SG,6-1,179,"October 11, 1982",us US,1,Arizona,ATL,2007
7,Dijon Thompson,SF,6-7,195,"February 23, 1983",us US,1,UCLA,ATL,2007
24,Marvin Williams,PF,6-8,237,"June 19, 1986",us US,1,UNC,ATL,2007
33,Shelden Williams,PF,6-9,250,"October 21, 1983",us US,R,Duke,ATL,2007
42,Lorenzen Wright,C,6-11,225,"November 4, 1975",us US,10,Memphis,ATL,2007
10,Mike Bibby,PG,6-1,190,"May 13, 1978",us US,9,Arizona,ATL,2008
1,Josh Childress,SF,6-8,210,"June 20, 1983",us US,3,Stanford,ATL,2008
15,Al Horford,C,6-9,240,"June 3, 1986",do DO,R,Florida,ATL,2008
8,Anthony Johnson,PG,6-3,190,"October 2, 1974",us US,10,College of Charleston,ATL,2008
2,Joe Johnson,SG,6-7,240,"June 29, 1981",us US,6,Arkansas,ATL,2008
44,Solomon Jones,PF,6-10,230,"July 16, 1984",us US,1,South Florida,ATL,2008
4,Acie Law,PG,6-3,195,"January 25, 1985",us US,R,Texas A&M,ATL,2008
10,Tyronn Lue,PG,6-0,175,"May 3, 1977",us US,9,Nebraska,ATL,2008
27,Zaza Pachulia,C,6-11,270,"February 10, 1984",ge GE,4,,ATL,2008
32,Jeremy Richardson,SF,6-6,185,"March 1, 1984",us US,1,Delta State University,ATL,2008
5,Josh Smith,PF,6-9,225,"December 5, 1985",us US,3,,ATL,2008
20,Salim Stoudamire,PG,6-1,179,"October 11, 1982",us US,2,Arizona,ATL,2008
6,Mario West,SG,6-5,210,"June 19, 1984",us US,R,Georgia Tech,ATL,2008
24,Marvin Williams,SF,6-8,237,"June 19, 1986",us US,2,UNC,ATL,2008
33,Shelden Williams,PF,6-9,250,"October 21, 1983",us US,1,Duke,ATL,2008
42,Lorenzen Wright,C,6-11,225,"November 4, 1975",us US,11,Memphis,ATL,2008
10,Mike Bibby,PG,6-1,190,"May 13, 1978",us US,10,Arizona,ATL,2009
12,Speedy Claxton,PG,5-11,166,"May 8, 1978",us US,6,Hofstra,ATL,2009
1,Maurice Evans,SF,6-5,220,"November 8, 1978",us US,5,"Wichita State, Texas",ATL,2009
3,Thomas Gardner,SG,6-5,225,"February 8, 1985",us US,1,Missouri,ATL,2009
15,Al Horford,C,6-9,240,"June 3, 1986",do DO,1,Florida,ATL,2009
50,Othello Hunter,PF,6-8,225,"May 28, 1986",us US,R,Ohio State,ATL,2009
2,Joe Johnson,SG,6-7,240,"June 29, 1981",us US,7,Arkansas,ATL,2009
44,Solomon Jones,C,6-10,230,"July 16, 1984",us US,2,South Florida,ATL,2009
4,Acie Law,PG,6-3,195,"January 25, 1985",us US,1,Texas A&M,ATL,2009
33,Randolph Morris,C,6-10,266,"January 2, 1986",us US,2,Kentucky,ATL,2009
22,Ronald Murray,SG,6-4,190,"July 29, 1979",us US,6,"Meridian Community College, Shaw",ATL,2009
27,Zaza Pachulia,C,6-11,270,"February 10, 1984",ge GE,5,,ATL,2009
5,Josh Smith,PF,6-9,225,"December 5, 1985",us US,4,,ATL,2009
6,Mario West,SG,6-5,210,"June 19, 1984",us US,1,Georgia Tech,ATL,2009
24,Marvin Williams,SF,6-8,237,"June 19, 1986",us US,3,UNC,ATL,2009
10,Mike Bibby,PG,6-1,190,"May 13, 1978",us US,11,Arizona,ATL,2010
34,Jason Collins,C,7-0,255,"December 2, 1978",us US,8,Stanford,ATL,2010
11,Jamal Crawford,SG,6-5,185,"March 20, 1980",us US,9,Michigan,ATL,2010
1,Maurice Evans,SF,6-5,220,"November 8, 1978",us US,6,"Wichita State, Texas",ATL,2010
15,Al Horford,C,6-9,240,"June 3, 1986",do DO,2,Florida,ATL,2010
50,Othello Hunter,SF,6-8,225,"May 28, 1986",us US,1,Ohio State,ATL,2010
2,Joe Johnson,SG,6-7,240,"June 29, 1981",us US,8,Arkansas,ATL,2010
33,Randolph Morris,PF,6-10,266,"January 2, 1986",us US,3,Kentucky,ATL,2010
27,Zaza Pachulia,C,6-11,270,"February 10, 1984",ge GE,6,,ATL,2010
32,Joe Smith,PF,6-10,225,"July 26, 1975",us US,14,Maryland,ATL,2010
5,Josh Smith,PF,6-9,225,"December 5, 1985",us US,5,,ATL,2010
0,Jeff Teague,PG,6-3,195,"June 10, 1988",us US,R,Wake Forest,ATL,2010
6,Mario West,SG,6-5,210,"June 19, 1984",us US,2,Georgia Tech,ATL,2010
24,Marvin Williams,SF,6-8,237,"June 19, 1986",us US,4,UNC,ATL,2010
31,Hilton Armstrong,C,6-11,235,"November 11, 1984",us US,4,UConn,ATL,2011
10,Mike Bibby,PG,6-1,190,"May 13, 1978",us US,12,Arizona,ATL,2011
34,Jason Collins,C,7-0,255,"December 2, 1978",us US,9,Stanford,ATL,2011
11,Jamal Crawford,SG,6-5,185,"March 20, 1980",us US,10,Michigan,ATL,2011
55,Jordan Crawford,SG,6-4,195,"October 23, 1988",us US,R,"Indiana, Xavier",ATL,2011
1,Maurice Evans,SF,6-5,220,"November 8, 1978",us US,7,"Wichita State, Texas",ATL,2011
6,Kirk Hinrich,PG,6-4,190,"January 2, 1981",us US,7,Kansas,ATL,2011
15,Al Horford,C,6-9,240,"June 3, 1986",do DO,3,Florida,ATL,2011
2,Joe Johnson,SG,6-7,240,"June 29, 1981",us US,9,Arkansas,ATL,2011
27,Zaza Pachulia,C,6-11,270,"February 10, 1984",ge GE,7,,ATL,2011
12,Josh Powell,PF,6-9,225,"January 25, 1983",us US,5,NC State,ATL,2011
5,Josh Smith,PF,6-9,225,"December 5, 1985",us US,6,,ATL,2011
19,Pape Sy,SF,6-7,225,"April 5, 1988",fr FR,R,,ATL,2011
0,Jeff Teague,PG,6-3,195,"June 10, 1988",us US,1,Wake Forest,ATL,2011
36,Etan Thomas,C,6-9,256,"April 1, 1978",us US,8,Syracuse,ATL,2011
3,Damien Wilkins,SF,6-6,225,"January 11, 1980",us US,6,"NC State, Georgia",ATL,2011
24,Marvin Williams,SF,6-8,237,"June 19, 1986",us US,5,UNC,ATL,2011
34,Jason Collins,C,7-0,255,"December 2, 1978",us US,10,Stanford,ATL,2012
25,Erick Dampier,C,6-11,265,"July 14, 1975",us US,15,Mississippi State,ATL,2012
33,Willie Green,SG,6-4,200,"July 28, 1981",us US,8,Detroit Mercy,ATL,2012
6,Kirk Hinrich,SG,6-4,190,"January 2, 1981",us US,8,Kansas,ATL,2012
15,Al Horford,C,6-9,240,"June 3, 1986",do DO,4,Florida,ATL,2012
44,Ivan Johnson,PF,6-8,230,"April 10, 1984",us US,R,"Oregon, Cal State San Bernardino",ATL,2012
2,Joe Johnson,SG,6-7,240,"June 29, 1981",us US,10,Arkansas,ATL,2012
1,Tracy McGrady,SF,6-8,210,"May 24, 1979",us US,14,,ATL,2012
27,Zaza Pachulia,C,6-11,270,"February 10, 1984",ge GE,8,,ATL,2012
7,Jannero Pargo,PG,6-1,175,"October 22, 1979",us US,7,Arkansas,ATL,2012
77,Vladimir Radmanović,SF,6-10,227,"November 19, 1980",ba BA,10,,ATL,2012
12,Donald Sloan,PG,6-3,205,"January 15, 1988",us US,R,Texas A&M,ATL,2012
5,Josh Smith,PF,6-9,225,"December 5, 1985",us US,7,,ATL,2012
42,Jerry Stackhouse,SF,6-6,218,"November 5, 1974",us US,16,UNC,ATL,2012
0,Jeff Teague,PG,6-3,195,"June 10, 1988",us US,2,Wake Forest,ATL,2012
24,Marvin Williams,SF,6-8,237,"June 19, 1986",us US,6,UNC,ATL,2012
34,Devin Harris,SG,6-3,185,"February 27, 1983",us US,8,Wisconsin,ATL,2013
15,Al Horford,C,6-9,240,"June 3, 1986",do DO,5,Florida,ATL,2013
12,John Jenkins,SG,6-4,215,"March 6, 1991",us US,R,Vanderbilt,ATL,2013
44,Ivan Johnson,PF,6-8,230,"April 10, 1984",us US,1,"Oregon, Cal State San Bernardino",ATL,2013
30,Dahntay Jones,SF,6-6,225,"December 27, 1980",us US,9,"Rutgers University, Duke",ATL,2013
26,Kyle Korver,SF,6-7,212,"March 17, 1981",us US,9,Creighton,ATL,2013
8,Shelvin Mack,PG,6-3,203,"April 22, 1990",us US,1,Butler,ATL,2013
22,Anthony Morrow,SG,6-5,210,"September 27, 1985",us US,4,Georgia Tech,ATL,2013
27,Zaza Pachulia,C,6-11,270,"February 10, 1984",ge GE,9,,ATL,2013
7,Jannero Pargo,PG,6-1,175,"October 22, 1979",us US,8,Arkansas,ATL,2013
10,Johan Petro,C,7-0,247,"January 27, 1986",fr FR,7,,ATL,2013
32,Mike Scott,PF,6-7,237,"July 16, 1988",us US,R,Virginia,ATL,2013
5,Josh Smith,PF,6-9,225,"December 5, 1985",us US,8,,ATL,2013
92,DeShawn Stevenson,SG,6-5,210,"April 3, 1981",us US,12,,ATL,2013
0,Jeff Teague,PG,6-3,195,"June 10, 1988",us US,3,Wake Forest,ATL,2013
4,Anthony Tolliver,SF,6-8,240,"June 1, 1985",us US,4,Creighton,ATL,2013
1,Jeremy Tyler,C,6-10,260,"June 21, 1991",us US,1,,ATL,2013
3,Lou Williams,SG,6-2,175,"October 27, 1986",us US,7,,ATL,2013
6,Pero Antić,C,6-11,260,"July 29, 1982",mk MK,R,,ATL,2014
14,Gustavo Ayón,C,6-10,250,"April 1, 1985",mx MX,2,,ATL,2014
42,Elton Brand,C,6-9,275,"March 11, 1979",us US,14,Duke,ATL,2014
5,DeMarre Carroll,SF,6-6,215,"July 27, 1986",us US,4,"Vanderbilt, Missouri",ATL,2014
7,Jared Cunningham,SG,6-4,195,"May 22, 1991",us US,1,Oregon State,ATL,2014
15,Al Horford,C,6-9,240,"June 3, 1986",do DO,6,Florida,ATL,2014
12,John Jenkins,SG,6-4,215,"March 6, 1991",us US,1,Vanderbilt,ATL,2014
26,Kyle Korver,SG,6-7,212,"March 17, 1981",us US,10,Creighton,ATL,2014
8,Shelvin Mack,PG,6-3,203,"April 22, 1990",us US,2,Butler,ATL,2014
20,Cartier Martin,SF,6-7,220,"November 20, 1984",us US,5,Kansas State,ATL,2014
4,Paul Millsap,PF,6-7,257,"February 10, 1985",us US,7,Louisiana Tech,ATL,2014
31,Mike Muscala,PF,6-10,240,"July 1, 1991",us US,R,Bucknell,ATL,2014
2,James Nunnally,SF,6-7,208,"July 14, 1990",us US,R,UC Santa Barbara,ATL,2014
45,Dexter Pittman,C,6-11,308,"March 2, 1988",us US,3,Texas,ATL,2014
17,Dennis Schröder,PG,6-1,172,"September 15, 1993",de DE,R,,ATL,2014
32,Mike Scott,PF,6-7,237,"July 16, 1988",us US,1,Virginia,ATL,2014
0,Jeff Teague,PG,6-3,195,"June 10, 1988",us US,4,Wake Forest,ATL,2014
3,Lou Williams,PG,6-2,175,"October 27, 1986",us US,8,,ATL,2014
6,Pero Antić,C,6-11,260,"July 29, 1982",mk MK,1,,ATL,2015
24,Kent Bazemore,SG,6-4,195,"July 1, 1989",us US,2,Old Dominion,ATL,2015
7,Elton Brand,C,6-9,275,"March 11, 1979",us US,15,Duke,ATL,2015
5,DeMarre Carroll,SF,6-6,215,"July 27, 1986",us US,5,"Vanderbilt, Missouri",ATL,2015
3,Austin Daye,SF,6-11,220,"June 5, 1988",us US,5,Gonzaga,ATL,2015
15,Al Horford,C,6-9,240,"June 3, 1986",do DO,7,Florida,ATL,2015
12,John Jenkins,SG,6-4,215,"March 6, 1991",us US,2,Vanderbilt,ATL,2015
26,Kyle Korver,SG,6-7,212,"March 17, 1981",us US,11,Creighton,ATL,2015
8,Shelvin Mack,PG,6-3,203,"April 22, 1990",us US,3,Butler,ATL,2015
4,Paul Millsap,PF,6-7,257,"February 10, 1985",us US,8,Louisiana Tech,ATL,2015
31,Mike Muscala,PF,6-10,240,"July 1, 1991",us US,1,Bucknell,ATL,2015
33,Adreian Payne,PF,6-10,237,"February 19, 1991",us US,R,Michigan State,ATL,2015
17,Dennis Schröder,PG,6-1,172,"September 15, 1993",de DE,1,,ATL,2015
32,Mike Scott,PF,6-7,237,"July 16, 1988",us US,2,Virginia,ATL,2015
25,Thabo Sefolosha,SF,6-6,215,"May 2, 1984",ch CH,8,,ATL,2015
0,Jeff Teague,PG,6-3,195,"June 10, 1988",us US,5,Wake Forest,ATL,2015
24,Kent Bazemore,SF,6-4,195,"July 1, 1989",us US,3,Old Dominion,ATL,2016
10,Tim Hardaway Jr.,SG,6-5,205,"March 16, 1992",us US,2,Michigan,ATL,2016
12,Kirk Hinrich,PG,6-4,190,"January 2, 1981",us US,12,Kansas,ATL,2016
7,Justin Holiday,SG,6-6,180,"April 5, 1989",us US,2,Washington,ATL,2016
15,Al Horford,C,6-9,240,"June 3, 1986",do DO,8,Florida,ATL,2016
43,Kris Humphries,PF,6-9,235,"February 6, 1985",us US,11,Minnesota,ATL,2016
26,Kyle Korver,SG,6-7,212,"March 17, 1981",us US,12,Creighton,ATL,2016
8,Shelvin Mack,PG,6-3,203,"April 22, 1990",us US,4,Butler,ATL,2016
4,Paul Millsap,PF,6-7,257,"February 10, 1985",us US,9,Louisiana Tech,ATL,2016
31,Mike Muscala,C,6-10,240,"July 1, 1991",us US,2,Bucknell,ATL,2016
13,Lamar Patterson,SG,6-5,225,"August 12, 1991",us US,R,Pitt,ATL,2016
17,Dennis Schröder,PG,6-1,172,"September 15, 1993",de DE,2,,ATL,2016
32,Mike Scott,PF,6-7,237,"July 16, 1988",us US,3,Virginia,ATL,2016
25,Thabo Sefolosha,SF,6-6,215,"May 2, 1984",ch CH,9,,ATL,2016
11,Tiago Splitter,C,6-11,245,"January 1, 1985",br BR,5,,ATL,2016
22,Edy Tavares,C,7-3,260,"March 22, 1992",cv CV,R,,ATL,2016
0,Jeff Teague,PG,6-3,195,"June 10, 1988",us US,6,Wake Forest,ATL,2016
24,Kent Bazemore,SF,6-4,195,"July 1, 1989",us US,4,Old Dominion,ATL,2017
95,DeAndre' Bembry,SF,6-5,210,"July 4, 1994",us US,R,Saint Joseph's,ATL,2017
13,José Calderón,PG,6-3,200,"September 28, 1981",es ES,11,,ATL,2017
5,Malcolm Delaney,PG,6-3,190,"March 11, 1989",us US,R,Virginia Tech,ATL,2017
34,Mike Dunleavy,SF,6-9,230,"September 15, 1980",us US,14,Duke,ATL,2017
10,Tim Hardaway Jr.,SG,6-5,205,"March 16, 1992",us US,3,Michigan,ATL,2017
8,Dwight Howard,C,6-10,265,"December 8, 1985",us US,12,,ATL,2017
43,Kris Humphries,PF,6-9,235,"February 6, 1985",us US,12,Minnesota,ATL,2017
7,Ersan İlyasova,PF,6-9,235,"May 15, 1987",tr TR,8,,ATL,2017
30,Ryan Kelly,PF,6-11,230,"April 9, 1991",us US,3,Duke,ATL,2017
26,Kyle Korver,SG,6-7,212,"March 17, 1981",us US,13,Creighton,ATL,2017
4,Paul Millsap,PF,6-7,257,"February 10, 1985",us US,10,Louisiana Tech,ATL,2017
31,Mike Muscala,C,6-10,240,"July 1, 1991",us US,3,Bucknell,ATL,2017
14,Gary Neal,SG,6-4,210,"October 3, 1984",us US,6,"La Salle, Towson University",ATL,2017
13,Lamar Patterson,SG,6-5,225,"August 12, 1991",us US,1,Pitt,ATL,2017
12,Taurean Prince,SF,6-6,218,"March 22, 1994",us US,R,Baylor,ATL,2017
17,Dennis Schröder,PG,6-1,172,"September 15, 1993",de DE,3,,ATL,2017
